NOME;NUM;LAT;LON;SEQ;GRUPO;SENTIDO;TIPO;ITINERARY_ID;CODE
Rua Brasílio Cuman. 566 - São Braz;190258;-25.409242488974;-49.355103106445;3;;Praça Tiradentes;Chapéu chinês;1024;876
Av. Vereador Toaldo Túlio. 2558 - São Braz;190080;-25.413192657914;-49.350849122948;6;;Praça Tiradentes;Novo mobiliário;1024;876
Av. Cândido Hartmann. 3048 - Mercês;190192;-25.422898449491;-49.314225364418;21;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Antônio Escorsin. 654 - Santa Felicidade;190929;-25.413708743038;-49.337136329359;12;;Praça Tiradentes;Novo mobiliário;1024;876
Praça Tiradentes - 876 - Savóia;101004;-25.430119444658;-49.272456604299;1;;Savóia;Novo mobiliário;1023;876
Avenida Cândido Hartmann. 176 - Mercês;180728;-25.432331067462;-49.288110912985;9;;Savóia;Placa em poste;1023;876
Rua Brasílio Cuman. 333 - São Braz;190507;-25.40994387261;-49.352795065588;37;;Savóia;Sem demarcação;1023;876
Avenida Cândido Hartmann. 1858 - Mercês;190183;-25.423642703202;-49.302706209822;16;;Savóia;Chapéu chinês;1023;876
Rua Cruz Machado. 82 - Centro;110017;-25.43008;-49.27409;38;;Praça Tiradentes;Chapéu chinês;1024;876
Av. Cândido Hartmann. 2764 - Mercês;190190;-25.422721889696;-49.311290349703;22;;Praça Tiradentes;Novo mobiliário;1024;876
Av. Cândido Hartmann. 4921 - Santa Felicidade;190934;-25.415683193735;-49.327932329125;15;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Cândido Lopes. 76 - Centro;110104;-25.430726719419;-49.273716838306;2;;Savóia;Chapéu chinês;1023;876
Rua Antônio Escorsin. 1548 - Santa Felicidade;190047;-25.4170972814;-49.344811049686;32;;Savóia;Novo mobiliário;1023;876
R. Cap. Souza Franco. 661 - Bigorrilho;180042;-25.432206677422;-49.292185860119;11;;Savóia;Novo mobiliário;1023;876
Rua Antônio Escorsin. 1002 - Santa Felicidade;190340;-25.414585742308;-49.339943261093;30;;Savóia;Novo mobiliário;1023;876
