NOME,NUM,LAT,LON
Rua Doutor Blei Zorning. 5222 - Boqueirão,150338,-25.520921271997,-49.248099883432
R. Mateus Leme. 5242- Abranches,120507,-25.38218220025,-49.268109009809
Rua João Miqueletto. 1370 - Alto Boqueirão,160163,-25.554570291888,-49.233208250332
Rua Paula Prevedello Gusso. 430 - Boa Vista,120634,-25.382726228017,-49.258220375723
Terminal Fazendinha - 050 - Interbairros V,105312,-25.477293050342,-49.327368658895
R. Amauri Lange Silvério. 828 - Pilarzinho,120043,-25.390875329296,-49.283135317028
Rua Conselheiro Dantas. 1206 - Rebouças,150226,-25.45387,-49.26991
Rua Júlio Wischral. 555 - Uberaba,140543,-25.474089886359,-49.22274480874
Avenida Anita Garibaldi. 6300 - Cachoeira,120047,-25.359170914964,-49.263415364418
Rua José Bajerski. 2370 - Abranches,120130,-25.351510608747,-49.271139766865
Rua Cid. Marcondes de Albuquerque. 514 - Pinheirinho,150461,-25.522817021644,-49.270380170292
Rua Alberico Flores Bueno. 301 - Atuba,130182,-25.396892997924,-49.208387434359
Rua Hussein Ibrahim Omairy. 262 - Osternack,160194,-25.55391,-49.26049
Terminal Fazendinha - 719 - Fazendinha / Caiuá /  Fórum,105306,-25.47729542449,-49.32706
Rua Roraima. 1215 - Cajuru,140370,-25.453446406531,-49.21169524785
Rua Paulo Kissula. 396 - Capão da Imbuia,130259,-25.44066,-49.20699
Avenida Anita Garibaldi. 5094 - Barreirinha,120035,-25.36922,-49.25998
R. Jorge Gava. 172 - Pilarzinho,120565,-25.387105191723,-49.291974320631
Terminal Santa Felicidade - 915 - Ouro Verde / Vila Badia,106004,-25.40061108113,-49.330637548498
Praça Tiradentes - 280 - Nossa Senhora de Nazaré,101017,-25.428906334648,-49.271190197414
Rua José Picussa. 33 - Cidade Industrial,181019,-25.473299016835,-49.360687807202
Rua Konrad Adenauer. 783-Tarumã,130343,-25.425697282307,-49.215183731894
R. Eça de Queiroz. 1260 - Ahú,120010,-25.402382962766,-49.25947409834
R. Mateus Leme. 2252 - Bom Retiro,120528,-25.407071686833,-49.271422208494
Rua João Miqueletto. 469 - Alto Boqueirão,160172,-25.548724092177,-49.239676093254
Rua Nair Schultz Helvig. 289 - Cachoeira,120124,-25.350095980849,-49.25478312487
Rua Alberto Oto. 2 - Cachoeira,120755,-25.360227822208,-49.250681206251
Rua Paulo Kissula. 951 - Capão da Imbuia,130262,-25.436264566846,-49.204848782387
Rua Cel. Luíz José dos Santos. 3707 - Boqueirão,150387,-25.505062225415,-49.263559917023
Avenida Nossa Senhora Aparecida. 1450- Seminário,180473,-25.449681067709,-49.313371957487
Rua Antonio Augusto de Brilo. 121 - Umbara,160055,-25.55503604389,-49.276550263166
Rua José Veríssimo. 27 - Bairro Alto,130588,-25.427635803632,-49.213817746586
Praça Santos Andrade - 380 - Detran/Vicente Machado - 366 - Itupava/Hospital Militar,103407,-25.428277513404,-49.266261920936
Rua Reinaldino Schafemberg de Quadros. 1435 - Alto da Rua XV,130759,-25.430483276342,-49.243559421247
Rua Ângelo Massignan. 285 - São Braz,190055,-25.416395762467,-49.354267347221
Av. Vereador Toaldo Túlio. 1577 - São Braz,190250,-25.409166172373,-49.342752875036
Rua Londrina. 1155 - Pinheirinho,160039,-25.541109931545,-49.293972682209
Rua Professor Fernando Moreira. 2 - Centro,110449,-25.431298119364,-49.278988391161
Av. Pres. Affonso Camargo. 4033 - Capão da Imbuia,130156,-25.43957485207,-49.22264456749
Rua Capitão Tenente Máris de Barros. 65 - Portão,180833,-25.468964184867,-49.298134328074
Rua Ricardo Eugenio Graeser Ronchi - Tatuquara,170916,-25.55767361004,-49.31806281209
R. Martin Afonso. 2711 - Bigorrilho,190201,-25.435589066631,-49.302904868717
Rua Wiegando Olsen - Cidade Industrial,170356,-25.546707084904,-49.319567354255
Av. Juscelino Kubitschek de Oliveira. 3145 - Cidade Industrial,180183,-25.459036054369,-49.358901224537
Rua Dep. Waldemiro Pedroso. 459 - Novo Mundo,170102,-25.492652571504,-49.298435662674
Av. Juscelino Kubitscheck de Oliveira. 1493- Cidade Industrial,190747,-25.44906,-49.36375
Rua José Veríssimo. 1313 - Bairro Alto,130241,-25.423411100857,-49.201568098015
Rua Guararapes. 54 - Vila Izabel,180966,-25.454803352452,-49.289760471529
Av. Rep. Argentina. 99 - Água Verde,150562,-25.448450452748,-49.287811517715
Terminal Capão Raso - 658 - Capão Raso / Caiuá,104809,-25.492095531902,-49.293111891693
Rua Salomão Elias Feder. 912 - Uberaba,140801,-25.488825288173,-49.23001963014
Rua Conde dos Arcos. 960 - Lindóia,150156,-25.480139107484,-49.279671342319
Rua Assis Brasil. 493 - Barreirinha,120237,-25.369702814833,-49.265220941252
Av. Juscelino Kubitschek de Oliveira. 6232 - Cidade Industrial,180198,-25.485609338699,-49.346676387558
R. Maria Caetana Correa. 3 - Campo de Santana,170966,-25.595840092494,-49.346793622917
Rua Cidade de Laguna. 184- Cidade Industrial,180738,-25.476030139325,-49.338615287685
Rua Marte. 513 - Sítio Cercado,150346,-25.53028,-49.26472
Rua Artur Martins Franco. 2812 - Cidade Industrial,180727,-25.506118300621,-49.334671379274
Rua Teodoro Makiolka. 2199 - Santa Candida,120484,-25.365193730644,-49.241440476125
Rua Adolfo Bertoldi. 1061 - Campo de Santana,170534,-25.59211,-49.34212
Rua Bortolo Pelanda. 697 - Umbara,160409,-25.560552143748,-49.289655865377
Rua João Stenzowski. 4 - Novo Mundo,150119,-25.484532196105,-49.284259260839
Rua Senador Salgado Filho. 5185 - Uberaba,140061,-25.48807,-49.2234
R. Cap. Leônidas Marques. 1158 - Uberaba,140307,-25.474983984155,-49.218414947421
Rua João Batista Betega Júnior. 380 - Tatuquara,170732,-25.563217719973,-49.312479465065
Rua Paula Prevedello Gusso. 605 - Boa Vista,120900,-25.380928201614,-49.256657316281
R. Manoel Eufrásio. 1223 - Ahú,120099,-25.409179497499,-49.265251786655
